Date,Titel,Attendance
2016-10-25,Zoomania/Zootopia(OmU),198
2016-10-26,Scouts vs. Zombie,22
2016-11-02,Unsere kleine Schwester?,69
2016-11-08,Son of Saul,42
2016-11-09,Die Farbe des Ozeans (refugee law clinic/ amnesty),60
2016-11-15,The Neon Demon,40
2016-11-16,Tangerine L.A. (Identitätenreferat),19
2016-11-22,Hentai Kamen,38
2016-11-23,Théo et Hugo dans le même bateau (Aidshilfe) ,15
2016-11-29,"Silver Shoes (Frauenreferat, CePoG) ",68
2016-11-30,The Nice Guys (2016),47
2016-12-06,Die Feuerzangenbowle (Kulturreferat),170
2016-12-07,Into the Wild (Philos),93
2016-12-13,Deadpool,126
2016-12-14,90 Minuten - Bei Abpfiff Frieden,8
2016-12-20,Eddie the Eagle: Alles ist möglich,27
2016-12-21,Redline (Manga Club),19
2016-01-10,Suicide Squad (2016),105
2016-01-11,Toni Erdmann ,87
2016-01-17,Captain Fantastic,119
2016-01-18,Steamboat Bill Jr. (Big Band),96
2016-01-24,Fuck for forest,19
2016-01-25,Clockwork Orange (Philos),54
2016-01-31,Lobster,67
2017-02-01,Ein Hologramm für den König,8
2016-02-07,Spotlight,43
2016-02-08,Wiener Dog,13
2016-02-14,Frühstück bei Monsieur Henri,82
